texto,M,hash_name,n,alpha,max_bucket,avg_bucket,total_comp_success,avg_comp_success,total_comp_fail,avg_comp_fail
Quincas,97,hashSomaAscii,10828,111.6289,163,111.6289,641306,59.2266,10828,111.6289
Quincas,97,hashSomaPonderada,10828,111.6289,143,111.6289,617442,57.0227,10828,111.6289
Quincas,97,hashMeio,10828,111.6289,1312,111.6289,3823824,353.1422,10828,111.6289
Quincas,97,hashQualquer,10828,111.6289,432,111.6289,1152545,106.4412,10828,111.6289
Quincas,100,hashSomaAscii,10828,108.28,174,108.28,654760,60.4692,10828,108.28
Quincas,100,hashSomaPonderada,10828,108.28,132,108.28,597035,55.1381,10828,108.28
Quincas,100,hashMeio,10828,108.28,1312,108.28,3825571,353.3036,10828,108.28
Quincas,100,hashQualquer,10828,108.28,556,108.28,1168751,107.9378,10828,108.28
Quincas,997,hashSomaAscii,10828,10.8606,44,10.8606,104380,9.6398,10828,10.8606
Quincas,997,hashSomaPonderada,10828,10.8606,30,10.8606,75205,6.9454,10828,10.8606
Quincas,997,hashMeio,10828,10.8606,1312,10.8606,3823521,353.1142,10828,10.8606
Quincas,997,hashQualquer,10828,10.8606,326,10.8606,721874,66.6673,10828,10.8606
Tale,97,hashSomaAscii,18647,192.2371,235,192.2371,1816643,97.4228,18647,192.2371
Tale,97,hashSomaPonderada,18647,192.2371,237,192.2371,1810828,97.111,18647,192.2371
Tale,97,hashMeio,18647,192.2371,2213,192.2371,10785690,578.4142,18647,192.2371
Tale,97,hashQualquer,18647,192.2371,510,192.2371,2404793,128.9641,18647,192.2371
Tale,100,hashSomaAscii,18647,186.47,237,186.47,1771801,95.018,18647,186.47
Tale,100,hashSomaPonderada,18647,186.47,219,186.47,1756327,94.1882,18647,186.47
Tale,100,hashMeio,18647,186.47,2213,186.47,10785691,578.4143,18647,186.47
Tale,100,hashQualquer,18647,186.47,661,186.47,2717223,145.719,18647,186.47
Tale,997,hashSomaAscii,18647,18.7031,53,18.7031,220172,11.8074,18647,18.7031
Tale,997,hashSomaPonderada,18647,18.7031,39,18.7031,202125,10.8395,18647,18.7031
Tale,997,hashMeio,18647,18.7031,2213,18.7031,10785661,578.4127,18647,18.7031
Tale,997,hashQualquer,18647,18.7031,402,18.7031,1003236,53.8015,18647,18.7031
